velocity_target,actual_velocity,applied_torque
0.5999999642372131,4.547473508864641e-13,-0.30029770731925964
0.5999999642372131,0.03911176323890686,0.4028684198856354
0.5999999642372131,1.9199433154426515e-09,0.20425784587860107
0.5999999642372131,0.04420023411512375,0.41472339630126953
0.5999999642372131,0.8401470184326172,2.395272970199585
0.5999999642372131,0.6481491327285767,-0.2621076703071594
0.5999999642372131,0.6421591639518738,0.23819947242736816
0.5999999642372131,1.0350397825241089,1.311222791671753
0.5999999642372131,0.853058397769928,-0.2350761890411377
0.5999999642372131,0.5470329523086548,-0.568854570388794
0.5999999642372131,0.5563980937004089,0.27946221828460693
0.5999999642372131,0.5201547741889954,0.15677207708358765
0.5999999642372131,0.6080658435821533,0.4907514452934265
0.5999999642372131,0.5345650315284729,0.05656623840332031
0.5999999642372131,0.5333583950996399,0.25101691484451294
0.5999999642372131,0.1316225528717041,-0.826472282409668
0.5999999642372131,-0.6522740721702576,-2.379085063934326
0.5999999642372131,-0.5042581558227539,0.14387154579162598
0.5999999642372131,-0.09977132081985474,0.8338858485221863
0.5999999642372131,0.025229915976524353,0.6781618595123291
0.5999999642372131,0.23412510752677917,0.8259926438331604
0.5999999642372131,1.1479517221450806,2.7124719619750977
0.5999999642372131,0.3935144543647766,-1.7750248908996582
0.5999999642372131,0.42586222290992737,0.3412211537361145
0.5999999642372131,0.44893550872802734,0.3162858188152313
0.5999999642372131,0.08571354299783707,-0.7229011058807373
0.5999999642372131,0.12992024421691895,0.3777053654193878
0.5999999642372131,-0.14689742028713226,-1.0595660209655762
0.5999999642372131,-0.2768053114414215,-0.6035650968551636
0.5999999642372131,-0.2730811536312103,-0.24413052201271057
0.5999999642372131,0.03525958210229874,1.2280213832855225
0.5999999642372131,3.310560714453459e-10,-0.23552995920181274
0.5999999642372131,0.37598827481269836,1.2727893590927124
0.5999999642372131,0.6634141206741333,1.027415156364441
0.5999999642372131,0.11554397642612457,-1.219539999961853
0.5999999642372131,0.4894218444824219,1.259870171546936
0.5999999642372131,0.2678860127925873,-0.3417242169380188
0.5999999642372131,-1.8657715372683015e-08,-0.4536009430885315
0.5999999642372131,0.8305858373641968,2.488588809967041
0.5999999642372131,0.13397490978240967,-1.6196033954620361
0.5999999642372131,0.3298802673816681,0.7811031341552734
0.5999999642372131,0.2793816924095154,0.1183231770992279
0.5999999642372131,0.39182063937187195,0.5566291213035583
0.5999999642372131,0.27799901366233826,-0.051999062299728394
0.5999999642372131,0.16144752502441406,-0.059392839670181274
0.5999999642372131,0.5485267043113708,1.2954038381576538
0.5999999642372131,0.63497394323349,0.4868261218070984
0.5999999642372131,1.0702834129333496,1.4253602027893066
0.5999999642372131,0.8722142577171326,-0.27833831310272217
